home_team,away_team,home_score,home_xg,away_score,away_xg,Attendance,Venue,Round,Date,Score,Host,Year
Argentina,France,3,3.3,3,2.2,88966,"Lusail Iconic Stadium, Lusail",Final,18-12-2022,(4) 3–3 (2),Qatar,2022
Croatia,Morocco,2,0.7,1,1.2,44137,"Khalifa International Stadium, Doha",Third-place match,17-12-2022,2–1,Qatar,2022
France,Morocco,2,2,0,0.9,68294,"Al Bayt Stadium, Al Khor",Semi-finals,14-12-2022,2–0,Qatar,2022
Argentina,Croatia,3,2.3,0,0.5,88966,"Lusail Iconic Stadium, Lusail",Semi-finals,13-12-2022,3–0,Qatar,2022
Morocco,Portugal,1,1.4,0,0.9,44198,"Al Thumama Stadium, ath-Thumāma",Quarter-finals,10-12-2022,1–0,Qatar,2022
England,France,1,2.4,2,0.9,68895,"Al Bayt Stadium, Al Khor",Quarter-finals,10-12-2022,1–2,Qatar,2022
Croatia,Brazil,1,0.6,1,2.5,43893,"Education City Stadium, Doha",Quarter-finals,09-12-2022,(4) 1–1 (2),Qatar,2022
Netherlands,Argentina,2,0.6,2,1.9,88235,"Lusail Iconic Stadium, Lusail",Quarter-finals,09-12-2022,(3) 2–2 (4),Qatar,2022
Morocco,Spain,0,0.7,0,1,44667,"Education City Stadium, Doha",Round of 16,06-12-2022,(3) 0–0 (0),Qatar,2022
Portugal,Switzerland,6,2.3,1,1.2,83720,"Lusail Iconic Stadium, Lusail",Round of 16,06-12-2022,6–1,Qatar,2022
Japan,Croatia,1,1.2,1,1.4,42523,"Al Janoub Stadium, Al Wakrah",Round of 16,05-12-2022,(1) 1–1 (3),Qatar,2022
Brazil,Korea Republic,4,3.6,1,0.5,43847,"Stadium 974, Doha",Round of 16,05-12-2022,4–1,Qatar,2022
France,Poland,3,1.4,1,1.7,40989,"Al Thumama Stadium, ath-Thumāma",Round of 16,04-12-2022,3–1,Qatar,2022
England,Senegal,3,1,0,0.8,65985,"Al Bayt Stadium, Al Khor",Round of 16,04-12-2022,3–0,Qatar,2022
Netherlands,United States,3,1.7,1,1.5,44846,"Khalifa International Stadium, Doha",Round of 16,03-12-2022,3–1,Qatar,2022
Argentina,Australia,2,1.6,1,0.6,45032,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Round of 16,03-12-2022,2–1,Qatar,2022
Korea Republic,Portugal,2,1.7,1,1.3,44097,"Education City Stadium, Doha",Group stage,02-12-2022,2–1,Qatar,2022
Ghana,Uruguay,0,1.6,2,1.8,43443,"Al Janoub Stadium, Al Wakrah",Group stage,02-12-2022,0–2,Qatar,2022
Cameroon,Brazil,1,0.5,0,2.5,85986,"Lusail Iconic Stadium, Lusail",Group stage,02-12-2022,1–0,Qatar,2022
Serbia,Switzerland,2,1.3,3,2.7,41378,"Stadium 974, Doha",Group stage,02-12-2022,2–3,Qatar,2022
Canada,Morocco,1,1.4,2,0.5,43102,"Al Thumama Stadium, ath-Thumāma",Group stage,01-12-2022,1–2,Qatar,2022
Croatia,Belgium,0,0.7,0,3,43984,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,01-12-2022,0–0,Qatar,2022
Costa Rica,Germany,2,1.3,4,5.7,67054,"Al Bayt Stadium, Al Khor",Group stage,01-12-2022,2–4,Qatar,2022
Japan,Spain,2,1.4,1,1,44851,"Khalifa International Stadium, Doha",Group stage,01-12-2022,2–1,Qatar,2022
Australia,Denmark,1,0.6,0,0.6,41232,"Al Janoub Stadium, Al Wakrah",Group stage,30-11-2022,1–0,Qatar,2022
Tunisia,France,1,0.5,0,0.8,43627,"Education City Stadium, Doha",Group stage,30-11-2022,1–0,Qatar,2022
Saudi Arabia,Mexico,1,1.1,2,2.3,84985,"Lusail Iconic Stadium, Lusail",Group stage,30-11-2022,1–2,Qatar,2022
Poland,Argentina,0,0.3,2,3.5,44089,"Stadium 974, Doha",Group stage,30-11-2022,0–2,Qatar,2022
Ecuador,Senegal,1,0.9,2,2.1,44569,"Khalifa International Stadium, Doha",Group stage,29-11-2022,1–2,Qatar,2022
Netherlands,Qatar,2,1.6,0,0.1,66784,"Al Bayt Stadium, Al Khor",Group stage,29-11-2022,2–0,Qatar,2022
IR Iran,United States,0,0.4,1,1.2,42127,"Al Thumama Stadium, ath-Thumāma",Group stage,29-11-2022,0–1,Qatar,2022
Wales,England,0,0.3,3,2.4,44297,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,29-11-2022,0–3,Qatar,2022
Cameroon,Serbia,3,2.2,3,1.9,39789,"Al Janoub Stadium, Al Wakrah",Group stage,28-11-2022,3–3,Qatar,2022
Korea Republic,Ghana,2,1.8,3,1.6,43983,"Education City Stadium, Doha",Group stage,28-11-2022,2–3,Qatar,2022
Brazil,Switzerland,1,1,0,0.3,43649,"Stadium 974, Doha",Group stage,28-11-2022,1–0,Qatar,2022
Portugal,Uruguay,2,1.3,0,1.3,88668,"Lusail Iconic Stadium, Lusail",Group stage,28-11-2022,2–0,Qatar,2022
Japan,Costa Rica,0,0.9,1,0.1,41479,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,27-11-2022,0–1,Qatar,2022
Belgium,Morocco,0,1,2,1.5,43738,"Al Thumama Stadium, ath-Thumāma",Group stage,27-11-2022,0–2,Qatar,2022
Croatia,Canada,4,2.6,1,0.4,44374,"Khalifa International Stadium, Doha",Group stage,27-11-2022,4–1,Qatar,2022
Spain,Germany,1,0.6,1,1.3,68895,"Al Bayt Stadium, Al Khor",Group stage,27-11-2022,1–1,Qatar,2022
Tunisia,Australia,0,0.9,1,0.6,41823,"Al Janoub Stadium, Al Wakrah",Group stage,26-11-2022,0–1,Qatar,2022
Poland,Saudi Arabia,2,1.6,0,1.7,44259,"Education City Stadium, Doha",Group stage,26-11-2022,2–0,Qatar,2022
France,Denmark,2,2.4,1,0.6,42860,"Stadium 974, Doha",Group stage,26-11-2022,2–1,Qatar,2022
Argentina,Mexico,2,0.3,0,0.3,88966,"Lusail Iconic Stadium, Lusail",Group stage,26-11-2022,2–0,Qatar,2022
Wales,IR Iran,0,0.9,2,1.4,40875,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,25-11-2022,0–2,Qatar,2022
Qatar,Senegal,1,1,3,0.8,41797,"Al Thumama Stadium, ath-Thumāma",Group stage,25-11-2022,1–3,Qatar,2022
Netherlands,Ecuador,1,0.1,1,1.7,44833,"Khalifa International Stadium, Doha",Group stage,25-11-2022,1–1,Qatar,2022
England,United States,0,0.8,0,0.6,68463,"Al Bayt Stadium, Al Khor",Group stage,25-11-2022,0–0,Qatar,2022
Switzerland,Cameroon,1,1.4,0,0.7,39089,"Al Janoub Stadium, Al Wakrah",Group stage,24-11-2022,1–0,Qatar,2022
Uruguay,Korea Republic,0,0.6,0,0.6,41663,"Education City Stadium, Doha",Group stage,24-11-2022,0–0,Qatar,2022
Portugal,Ghana,3,2,2,0.9,42662,"Stadium 974, Doha",Group stage,24-11-2022,3–2,Qatar,2022
Brazil,Serbia,2,2.4,0,0.2,88103,"Lusail Iconic Stadium, Lusail",Group stage,24-11-2022,2–0,Qatar,2022
Morocco,Croatia,0,0.4,0,0.5,59407,"Al Bayt Stadium, Al Khor",Group stage,23-11-2022,0–0,Qatar,2022
Germany,Japan,1,3.1,2,1.5,42608,"Khalifa International Stadium, Doha",Group stage,23-11-2022,1–2,Qatar,2022
Spain,Costa Rica,7,3.5,0,0,40013,"Al Thumama Stadium, ath-Thumāma",Group stage,23-11-2022,7–0,Qatar,2022
Belgium,Canada,1,0.8,0,2.4,40432,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,23-11-2022,1–0,Qatar,2022
Argentina,Saudi Arabia,1,2.2,2,0.1,88012,"Lusail Iconic Stadium, Lusail",Group stage,22-11-2022,1–2,Qatar,2022
Denmark,Tunisia,0,1.4,0,0.9,42925,"Education City Stadium, Doha",Group stage,22-11-2022,0–0,Qatar,2022
Mexico,Poland,0,0.7,0,0.9,39369,"Stadium 974, Doha",Group stage,22-11-2022,0–0,Qatar,2022
France,Australia,4,4,1,0.5,40875,"Al Janoub Stadium, Al Wakrah",Group stage,22-11-2022,4–1,Qatar,2022
England,IR Iran,6,2.1,2,1.4,45334,"Khalifa International Stadium, Doha",Group stage,21-11-2022,6–2,Qatar,2022
Senegal,Netherlands,0,0.9,2,0.7,41721,"Al Thumama Stadium, ath-Thumāma",Group stage,21-11-2022,0–2,Qatar,2022
United States,Wales,1,0.8,1,1.5,43418,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,21-11-2022,1–1,Qatar,2022
Qatar,Ecuador,0,0.3,2,1.2,67372,"Al Bayt Stadium, Al Khor",Group stage,20-11-2022,0–2,Qatar,2022
France,Croatia,4,1.1,2,1.1,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Final,15-07-2018,4–2,Russia,2018
Belgium,England,2,1.5,0,1,64406,"Gazprom Arena, Sankt-Petersburg",Third-place match,14-07-2018,2–0,Russia,2018
Croatia,England,2,1.7,1,0.6,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Semi-finals,11-07-2018,2–1,Russia,2018
France,Belgium,1,1.7,0,0.4,64286,"Gazprom Arena, Sankt-Petersburg",Semi-finals,10-07-2018,1–0,Russia,2018
Sweden,England,0,0.5,2,1,39991,"Cosmos Arena, Samara",Quarter-finals,07-07-2018,0–2,Russia,2018
Russia,Croatia,2,1,2,1.7,44287,"Olimpiyskiy Stadion Fisht, Sochi",Quarter-finals,07-07-2018,(3) 2–2 (4),Russia,2018
Uruguay,France,0,0.9,2,0.5,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Quarter-finals,06-07-2018,0–2,Russia,2018
Brazil,Belgium,1,2.8,2,0.5,42873,"Kazan Arena, Kazan",Quarter-finals,06-07-2018,1–2,Russia,2018
Sweden,Switzerland,1,1.3,0,0.7,64042,"Gazprom Arena, Sankt-Petersburg",Round of 16,03-07-2018,1–0,Russia,2018
Colombia,England,1,0.6,1,2.1,44190,"Otkrytie Arena, Moskva",Round of 16,03-07-2018,(3) 1–1 (4),Russia,2018
Brazil,Mexico,2,2.7,0,0.7,41970,"Cosmos Arena, Samara",Round of 16,02-07-2018,2–0,Russia,2018
Belgium,Japan,3,2.5,2,0.7,41466,"Rostov Arena, Rostov-na-Donu",Round of 16,02-07-2018,3–2,Russia,2018
Spain,Russia,1,1.8,1,1,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Round of 16,01-07-2018,(3) 1–1 (4),Russia,2018
Croatia,Denmark,1,2.5,1,0.9,40851,"Stadion Nizhny Novgorod, Nizhny Novgorod",Round of 16,01-07-2018,(3) 1–1 (2),Russia,2018
France,Argentina,4,2.2,3,0.8,42873,"Kazan Arena, Kazan",Round of 16,30-06-2018,4–3,Russia,2018
Uruguay,Portugal,2,0.6,1,1,44287,"Olimpiyskiy Stadion Fisht, Sochi",Round of 16,30-06-2018,2–1,Russia,2018
Japan,Poland,0,0.7,1,1.4,42189,"Volgograd Arena, Volgograd",Group stage,28-06-2018,0–1,Russia,2018
Senegal,Colombia,0,0.5,1,0.3,41970,"Cosmos Arena, Samara",Group stage,28-06-2018,0–1,Russia,2018
England,Belgium,0,0.9,1,1.3,33973,"Kaliningrad Stadium, Kaliningrad",Group stage,28-06-2018,0–1,Russia,2018
Panama,Tunisia,1,0.6,2,2.1,37168,"Mordovia Arena, Saransk",Group stage,28-06-2018,1–2,Russia,2018
Korea Republic,Germany,2,1.7,0,2.7,41835,"Kazan Arena, Kazan",Group stage,27-06-2018,2–0,Russia,2018
Mexico,Sweden,0,1.4,3,2.4,33061,"Stadion Central'nyj, Yekaterinburg",Group stage,27-06-2018,0–3,Russia,2018
Switzerland,Costa Rica,2,1.4,2,1.5,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,27-06-2018,2–2,Russia,2018
Serbia,Brazil,0,0.8,2,1.4,44190,"Otkrytie Arena, Moskva",Group stage,27-06-2018,0–2,Russia,2018
Australia,Peru,0,0.9,2,0.2,44073,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,26-06-2018,0–2,Russia,2018
Denmark,France,0,0.2,0,0.4,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,26-06-2018,0–0,Russia,2018
Iceland,Croatia,1,2.1,2,0.7,43472,"Rostov Arena, Rostov-na-Donu",Group stage,26-06-2018,1–2,Russia,2018
Nigeria,Argentina,1,1.4,2,0.9,64468,"Gazprom Arena, Sankt-Petersburg",Group stage,26-06-2018,1–2,Russia,2018
Saudi Arabia,Egypt,2,2.6,1,0.8,36823,"Volgograd Arena, Volgograd",Group stage,25-06-2018,2–1,Russia,2018
Uruguay,Russia,3,2.4,0,0.1,41970,"Cosmos Arena, Samara",Group stage,25-06-2018,3–0,Russia,2018
Spain,Morocco,2,2.9,2,1.2,33973,"Kaliningrad Stadium, Kaliningrad",Group stage,25-06-2018,2–2,Russia,2018
IR Iran,Portugal,1,1.4,1,1.3,41685,"Mordovia Arena, Saransk",Group stage,25-06-2018,1–1,Russia,2018
England,Panama,6,2.8,1,1.1,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,24-06-2018,6–1,Russia,2018
Japan,Senegal,2,0.9,2,1.4,32572,"Stadion Central'nyj, Yekaterinburg",Group stage,24-06-2018,2–2,Russia,2018
Poland,Colombia,0,1.1,3,2.1,42873,"Kazan Arena, Kazan",Group stage,24-06-2018,0–3,Russia,2018
Belgium,Tunisia,5,5.2,2,1.1,44190,"Otkrytie Arena, Moskva",Group stage,23-06-2018,5–2,Russia,2018
Korea Republic,Mexico,1,0.9,2,1.9,43472,"Rostov Arena, Rostov-na-Donu",Group stage,23-06-2018,1–2,Russia,2018
Germany,Sweden,2,1.4,1,0.9,44287,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,23-06-2018,2–1,Russia,2018
Brazil,Costa Rica,2,2.6,0,0.1,64468,"Gazprom Arena, Sankt-Petersburg",Group stage,22-06-2018,2–0,Russia,2018
Nigeria,Iceland,2,0.9,0,1.3,40904,"Volgograd Arena, Volgograd",Group stage,22-06-2018,2–0,Russia,2018
Serbia,Switzerland,1,1.5,2,2.1,33167,"Kaliningrad Stadium, Kaliningrad",Group stage,22-06-2018,1–2,Russia,2018
Denmark,Australia,1,0.8,1,1.3,40727,"Cosmos Arena, Samara",Group stage,21-06-2018,1–1,Russia,2018
France,Peru,1,2,0,0.4,32789,"Stadion Central'nyj, Yekaterinburg",Group stage,21-06-2018,1–0,Russia,2018
Argentina,Croatia,0,1.3,3,1.9,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,21-06-2018,0–3,Russia,2018
Portugal,Morocco,1,1.2,0,0.9,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,20-06-2018,1–0,Russia,2018
Uruguay,Saudi Arabia,1,1.7,0,0.3,42678,"Rostov Arena, Rostov-na-Donu",Group stage,20-06-2018,1–0,Russia,2018
IR Iran,Spain,0,0.7,1,1.9,42718,"Kazan Arena, Kazan",Group stage,20-06-2018,0–1,Russia,2018
Colombia,Japan,1,1,2,2,40842,"Mordovia Arena, Saransk",Group stage,19-06-2018,1–2,Russia,2018
Poland,Senegal,1,0.8,2,1,44190,"Otkrytie Arena, Moskva",Group stage,19-06-2018,1–2,Russia,2018
Russia,Egypt,3,1.2,1,1.4,64468,"Gazprom Arena, Sankt-Petersburg",Group stage,19-06-2018,3–1,Russia,2018
Sweden,Korea Republic,1,2.3,0,0.3,42300,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,18-06-2018,1–0,Russia,2018
Belgium,Panama,3,2,0,0.5,43257,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,18-06-2018,3–0,Russia,2018
Tunisia,England,1,1,2,2.8,41064,"Volgograd Arena, Volgograd",Group stage,18-06-2018,1–2,Russia,2018
Costa Rica,Serbia,0,0.9,1,0.9,41432,"Cosmos Arena, Samara",Group stage,17-06-2018,0–1,Russia,2018
Germany,Mexico,0,1.4,1,1.3,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,17-06-2018,0–1,Russia,2018
Brazil,Switzerland,1,2.2,1,0.9,43109,"Rostov Arena, Rostov-na-Donu",Group stage,17-06-2018,1–1,Russia,2018
France,Australia,2,1.3,1,1,41279,"Kazan Arena, Kazan",Group stage,16-06-2018,2–1,Russia,2018
Argentina,Iceland,1,1.9,1,1,44190,"Otkrytie Arena, Moskva",Group stage,16-06-2018,1–1,Russia,2018
Peru,Denmark,0,1.7,1,1,40502,"Mordovia Arena, Saransk",Group stage,16-06-2018,0–1,Russia,2018
Croatia,Nigeria,2,1.5,0,0.7,31136,"Kaliningrad Stadium, Kaliningrad",Group stage,16-06-2018,2–0,Russia,2018
Egypt,Uruguay,0,0.3,1,1.6,27015,"Stadion Central'nyj, Yekaterinburg",Group stage,15-06-2018,0–1,Russia,2018
Morocco,IR Iran,0,0.7,1,1,62548,"Gazprom Arena, Sankt-Petersburg",Group stage,15-06-2018,0–1,Russia,2018
Portugal,Spain,3,1.2,3,1.6,43866,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,15-06-2018,3–3,Russia,2018
Russia,Saudi Arabia,5,1.7,0,0.2,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,14-06-2018,5–0,Russia,2018
Germany,Argentina,1,,0,,74738,"Estadio Jornalista Mário Filho, Rio de Janeiro",Final,13-07-2014,1–0,Brazil,2014
Brazil,Netherlands,0,,3,,68034,"Estádio Nacional de Brasília, Brasília",Third-place match,12-07-2014,0–3,Brazil,2014
Netherlands,Argentina,0,,0,,63267,"Arena Corinthians, São Paulo",Semi-finals,09-07-2014,(2) 0–0 (4),Brazil,2014
Brazil,Germany,1,,7,,58141,"Estádio Governador Magalhães Pinto, Belo Horizonte",Semi-finals,08-07-2014,1–7,Brazil,2014
Argentina,Belgium,1,,0,,68551,"Estádio Nacional de Brasília, Brasília",Quarter-finals,05-07-2014,1–0,Brazil,2014
Netherlands,Costa Rica,0,,0,,51179,"Itaipava Arena Fonte Nova, Salvador",Quarter-finals,05-07-2014,(4) 0–0 (3),Brazil,2014
France,Germany,0,,1,,74240,"Estadio Jornalista Mário Filho, Rio de Janeiro",Quarter-finals,04-07-2014,0–1,Brazil,2014
Brazil,Colombia,2,,1,,60342,"Estádio Castelão, Fortaleza",Quarter-finals,04-07-2014,2–1,Brazil,2014
Argentina,Switzerland,1,,0,,63255,"Arena Corinthians, São Paulo",Round of 16,01-07-2014,1–0,Brazil,2014
Belgium,United States,2,,1,,51227,"Itaipava Arena Fonte Nova, Salvador",Round of 16,01-07-2014,2–1,Brazil,2014
France,Nigeria,2,,0,,67882,"Estádio Nacional de Brasília, Brasília",Round of 16,30-06-2014,2–0,Brazil,2014
Germany,Algeria,2,,1,,43063,"Estádio José Pinheiro Borba, Porto Alegre",Round of 16,30-06-2014,2–1,Brazil,2014
Netherlands,Mexico,2,,1,,58817,"Estádio Castelão, Fortaleza",Round of 16,29-06-2014,2–1,Brazil,2014
Costa Rica,Greece,1,,1,,41242,"Itaipava Arena Pernambuco, Recife",Round of 16,29-06-2014,(5) 1–1 (3),Brazil,2014
Brazil,Chile,1,,1,,57714,"Estádio Governador Magalhães Pinto, Belo Horizonte",Round of 16,28-06-2014,(3) 1–1 (2),Brazil,2014
Colombia,Uruguay,2,,0,,73804,"Estadio Jornalista Mário Filho, Rio de Janeiro",Round of 16,28-06-2014,2–0,Brazil,2014
United States,Germany,0,,1,,41876,"Itaipava Arena Pernambuco, Recife",Group stage,26-06-2014,0–1,Brazil,2014
Portugal,Ghana,2,,1,,67540,"Estádio Nacional de Brasília, Brasília",Group stage,26-06-2014,2–1,Brazil,2014
Korea Republic,Belgium,0,,1,,61397,"Arena Corinthians, São Paulo",Group stage,26-06-2014,0–1,Brazil,2014
Algeria,Russia,1,,1,,39311,"Estádio Joaquim Américo Guimarães, Curitiba",Group stage,26-06-2014,1–1,Brazil,2014
Bosnia and Herzegovina,IR Iran,3,,1,,48011,"Itaipava Arena Fonte Nova, Salvador",Group stage,25-06-2014,3–1,Brazil,2014
Nigeria,Argentina,2,,3,,43285,"Estádio José Pinheiro Borba, Porto Alegre",Group stage,25-06-2014,2–3,Brazil,2014
Honduras,Switzerland,0,,3,,40322,"Arena da Amazônia, Manaus",Group stage,25-06-2014,0–3,Brazil,2014
Ecuador,France,0,,0,,73749,"Estadio Jornalista Mário Filho, Rio de Janeiro",Group stage,25-06-2014,0–0,Brazil,2014
